"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-395059111501901","2008-08-20","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,8,2008,"Accepted",1.79,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395059111501901","2012-08-14","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,8,2012,"Preliminary",1.68,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395059111501901","2018-05-29","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,5,2018,"Accepted",1.76,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395326111585001","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-11- 1) 6abc- 1","Well",39.89050778,-111.9813303,8,2007,"Accepted",6.37,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,8,2007,"Accepted",11.8,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2008-09-05","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,9,2008,"Accepted",12.2,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2011-08-08","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,8,2011,"Preliminary",11.5,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2014-07-01","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,7,2014,"Accepted",11.6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2017-06-28","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,6,2017,"Accepted",11.1,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395825111571801","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1) 4cbb- 1","Well",39.9738413,-111.95633,8,2007,"Accepted",3.32,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395832111413101","2015-08-11","USGS-UT","USGS Utah Water Science Center","(D-10- 2) 3daa-S1","Spring",39.97551079,-111.6927045,8,2015,"Preliminary",0.085,0.004,0,0.085,0.09,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395848111571801","2009-07-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1) 4bbb- 1","Well",39.9799524,-111.9557744,7,2009,"Accepted",3.54,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2000-06-14","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,6,2000,"Accepted",1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2005-08-23","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2005,"Accepted",1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2006-08-10","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2006,"Accepted",2.25,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2007-08-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2007,"Accepted",1.85,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2008-07-17","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2008,"Accepted",1.92,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2010-07-28","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2010,"Accepted",2.19,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2012-07-24","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2012,"Accepted",2.41,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2013-07-02","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2013,"Accepted",2.37,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2014-07-16","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2014,"Accepted",2.92,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2015-06-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,6,2015,"Accepted",2,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2016-07-01","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2016,"Accepted",1.83,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2018-06-27","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,6,2018,"Accepted",2.22,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395947111444800","2018-06-26","USGS-UT","USGS Utah Water Science Center","(D- 9- 2)32bbb- 1","Well",39.99634365,-111.7482645,6,2018,"Accepted",0.257,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395954111453101","2019-09-03","USGS-UT","USGS Utah Water Science Center","(D- 9- 2)30cdd- 1","Well",39.9983611,-111.7586389,9,2019,"Preliminary",2.4,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2000-06-14","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,6,2000,"Accepted",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2005-08-12","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,8,2005,"Accepted",14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2008-09-05","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,9,2008,"Accepted",17.4,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2009-07-22","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,7,2009,"Accepted",17.9,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2010-07-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,7,2010,"Accepted",19.1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2011-08-08","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,8,2011,"Accepted",20.2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2012-07-24","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,7,2012,"Accepted",21.7,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2013-07-02","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,7,2013,"Accepted",23.5,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2014-07-01","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,7,2014,"Accepted",25.7,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2015-06-22","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,6,2015,"Accepted",22.9,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2016-06-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,6,2016,"Accepted",28.3,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2017-06-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,6,2017,"Accepted",29,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395956111572101","2018-06-26","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)28ccb- 1","Well",39.99884126,-111.956608,6,2018,"Accepted",28.1,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400015111575301","2008-07-14","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)29acc- 1","Well",40.0041189,-111.9654972,7,2008,"Accepted",16.6,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400015111575301","2010-07-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)29acc- 1","Well",40.0041189,-111.9654972,7,2010,"Accepted",18.1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400015111575301","2013-07-02","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)29acc- 1","Well",40.0041189,-111.9654972,7,2013,"Preliminary",23.7,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400023111402200","2007-08-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 2)26add- 1","Well",40.007455,-111.6746474,8,2007,"Accepted",2.67,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400023111402200","2009-07-28","USGS-UT","USGS Utah Water Science Center","(D- 9- 2)26add- 1","Well",40.007455,-111.6746474,7,2009,"Accepted",2.65,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400026111484301","2003-05-20","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)27acb- 1","Well",40.0070373,-111.8127954,5,2003,"Accepted",1.09,NA,NA,1.09,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400040111572701","2008-07-14","USGS-UT","USGS Utah Water Science Center","(C- 9- 1)20ddd- 1","Well",40.0110634,-111.9582745,7,2008,"Accepted",32.5,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400309111565101","2009-07-22","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ddc- 1","Well",40.0543967,-111.9432729,7,2009,"Accepted",2.25,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400309111565101","2010-07-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ddc- 1","Well",40.0543967,-111.9432729,7,2010,"Accepted",2.29,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400309111565101","2012-07-24","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ddc- 1","Well",40.0543967,-111.9432729,7,2012,"Preliminary",2.34,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400309111565101","2015-06-22","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ddc- 1","Well",40.0543967,-111.9432729,6,2015,"Accepted",2.54,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400309111565101","2018-06-26","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ddc- 1","Well",40.0543967,-111.9432729,6,2018,"Accepted",3.13,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400311111432001","2000-06-14","USGS-UT","USGS Utah Water Science Center","(D- 9- 2) 9bac- 1","Well",40.0530101,-111.7229843,6,2000,"Accepted",3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400311111432001","2007-08-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 2) 9bac- 1","Well",40.0530101,-111.7229843,8,2007,"Accepted",3.63,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400311111432001","2009-07-28","USGS-UT","USGS Utah Water Science Center","(D- 9- 2) 9bac- 1","Well",40.0530101,-111.7229843,7,2009,"Accepted",4.05,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400311111432001","2012-07-23","USGS-UT","USGS Utah Water Science Center","(D- 9- 2) 9bac- 1","Well",40.0530101,-111.7229843,7,2012,"Preliminary",3.98,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400311111432001","2015-06-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 2) 9bac- 1","Well",40.0530101,-111.7229843,6,2015,"Accepted",3.38,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400315111572001","2000-06-14","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ccc- 1","Well",40.05439657,-111.9560513,6,2000,"Accepted",8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400315111572001","2008-07-14","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 4ccc- 1","Well",40.05439657,-111.9560513,7,2008,"Accepted",11.3,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2006-08-10","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,8,2006,"Accepted",0.98,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,8,2007,"Accepted",0.97,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2011-08-08","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,8,2011,"Preliminary",0.89,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2014-07-01","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,7,2014,"Accepted",0.926,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400325111552501","2017-06-28","USGS-UT","USGS Utah Water Science Center","(C- 9- 1) 3ddb- 1","Well",40.05828578,-111.924383,6,2017,"Accepted",1.02,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400407111375101","2013-07-01","USGS-UT","USGS Utah Water Science Center","(D- 9- 3) 5bbd- 1","Well",40.0693997,-111.6324215,7,2013,"Preliminary",NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400407111375101","2016-06-27","USGS-UT","USGS Utah Water Science Center","(D- 9- 3) 5bbd- 1","Well",40.0693997,-111.6324215,6,2016,"Accepted",1.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2010-07-28","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,7,2010,"Accepted",0.03,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2013-07-02","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,7,2013,"Preliminary",NA,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-400422111454201","2016-06-28","USGS-UT","USGS Utah Water Science Center","(D- 8- 2)31cdb- 1","Well",40.07273184,-111.762709,6,2016,"Accepted",NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
