"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-402159111520101","2013-07-01","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20cbc- 1","Well",40.36633955,-111.867711,7,2013,"Preliminary",1.94,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402159111520101","2016-06-27","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20cbc- 1","Well",40.36633955,-111.867711,6,2016,"Accepted",1.86,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402159111520101","2019-08-09","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20cbc- 1","Well",40.36633955,-111.867711,8,2019,"Preliminary",1.99,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402215111434701","2014-07-16","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)21cba- 1","Well",40.3693962,-111.7315117,7,2014,"Accepted",2.68,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402215111434701","2019-09-03","USGS-UT","USGS Utah Water Science Center","(D- 5- 2)21cba- 1","Well",40.3693962,-111.7315117,9,2019,"Preliminary",3.77,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402215111494801","2015-09-29","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)22bbc- 1","Well",40.37088889,-111.8300833,9,2015,"Accepted",1.2,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402215111494801","2018-06-25","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)22bbc- 1","Well",40.37088889,-111.8300833,6,2018,"Accepted",1.35,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402219111523401","2003-09-04","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)19acb- 2","Well",40.37188889,-111.8776389,9,2003,"Accepted",1.22,NA,NA,1.22,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402230111523801","2003-09-12","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)19abb- 3","Well",40.3750833,-111.8773333,9,2003,"Accepted",0.13,0.01,NA,0.134,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402234111511501","2006-08-10","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20aba- 2","Well",40.37664507,-111.855044,8,2006,"Accepted",2.34,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402234111511501","2012-07-23","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20aba- 2","Well",40.37664507,-111.855044,7,2012,"Preliminary",2.39,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402236111511501","2009-07-30","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20aba- 1","Well",40.37617285,-111.8547663,7,2009,"Accepted",NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402236111511501","2015-06-22","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20aba- 1","Well",40.37617285,-111.8547663,6,2015,"Accepted",1.7,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402236111511501","2018-06-27","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)20aba- 1","Well",40.37617285,-111.8547663,6,2018,"Accepted",1.76,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402236111575101","2003-06-04","USGS-UT","USGS Utah Water Science Center","(C- 5- 1)20aaa- 1","Well",40.3767555,-111.9648251,6,2003,"Accepted",0.09,NA,NA,0.094,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402246111493401","2004-07-28","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)15cca- 1","Well",40.37952778,-111.8261389,7,2004,"Accepted",1.56,NA,NA,1.56,1.66,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402259111525201","2000-06-14","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)18cab- 2","Well",40.3835337,-111.8817115,6,2000,"Accepted",0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402305111481601","2004-07-20","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)14bdc- 1","Well",40.3848397,-111.8050148,7,2004,"Accepted",1.65,0.005,NA,1.65,1.76,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402306111493601","2004-08-12","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)15cbc-S1","Spring",40.38488889,-111.8266389,8,2004,"Accepted",1.6,NA,NA,1.6,1.62,NA,0.02,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402322111555201","2004-08-11","USGS-UT","USGS Utah Water Science Center","(C- 5- 1)15aba- 1","Well",40.3894722,-111.9311389,8,2004,"Accepted",2.02,0.005,NA,2.02,2.05,NA,0.01,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402327111512401","2004-09-08","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)17abb- 1","Well",40.3908671,-111.8573775,9,2004,"Accepted",0.72,0.009,NA,0.722,0.71,NA,0.02,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-402610111480001","2004-08-11","USGS-UT","USGS Utah Water Science Center","(D- 5- 1)26cac- 2","Well",40.3527222,-111.805111,8,2004,"Accepted",NA,0.007,NA,NA,0.06,NA,0.02,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917630","2000-06-01","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,6,2000,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917630","2000-06-02","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,6,2000,"Final",1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA
"UTAHDWQ_WQX-5917630","2000-08-02","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,8,2000,"Final",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,0.024,0.042,NA,NA,NA
"UTAHDWQ_WQX-5917630","2004-06-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,6,2004,"Final",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,0.027,NA,NA,NA,NA
"UTAHDWQ_WQX-5917630","2004-08-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,8,2004,"Final",4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,NA,0.02,0.12,NA,NA
"UTAHDWQ_WQX-5917630","2006-06-08","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,6,2006,"Final",4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,0.02,0.026,NA,NA,NA
"UTAHDWQ_WQX-5917630","2006-08-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #1","Spring",40.047180536,-111.674925502,8,2006,"Final",4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,0.025,0.023,NA,NA,NA
"UTAHDWQ_WQX-5917670","2000-06-01","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #5","Spring",40.049676419,-111.641585051,6,2000,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917670","2000-06-02","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #5","Spring",40.049676419,-111.641585051,6,2000,"Final",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA
"UTAHDWQ_WQX-5917670","2000-08-02","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #5","Spring",40.049676419,-111.641585051,8,2000,"Final",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93,NA,0.039,NA,NA,NA
"UTAHDWQ_WQX-5917680","2004-06-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #6","Spring",40.049953905,-111.67519905,6,2004,"Final",3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917680","2004-08-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #6","Spring",40.049953905,-111.67519905,8,2004,"Final",3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,0.08,NA,NA
"UTAHDWQ_WQX-5917680","2006-06-08","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #6","Spring",40.049953905,-111.67519905,6,2006,"Final",3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917680","2006-08-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #6","Spring",40.049953905,-111.67519905,8,2006,"Final",3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-5917690","2000-08-02","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #7","Spring",40.050510121,-111.677150661,8,2000,"Final",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38,0.157,0.056,NA,NA,NA
"UTAHDWQ_WQX-5917690","2004-06-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #7","Spring",40.050510121,-111.677150661,6,2004,"Final",2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17,NA,NA,0.05,NA,NA
"UTAHDWQ_WQX-5917690","2006-06-08","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #7","Spring",40.050510121,-111.677150661,6,2006,"Final",0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,0.021,NA,0.15,NA,NA
"UTAHDWQ_WQX-5917690","2006-08-03","UTAHDWQ_WQX","Utah Department Of Environmental Quality","SALEM GROUNDWATER SITE #7","Spring",40.050510121,-111.677150661,8,2006,"Final",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0.032,NA,0.13,NA,NA
"UTAHDWQ_WQX-5981365","2007-02-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-1","Well",39.932755284,-111.957959859,2,2007,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26.9
"UTAHDWQ_WQX-5981365","2008-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-1","Well",39.932755284,-111.957959859,3,2008,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24
"UTAHDWQ_WQX-5981365","2009-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-1","Well",39.932755284,-111.957959859,3,2009,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7
"UTAHDWQ_WQX-5981365","2010-09-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-1","Well",39.932755284,-111.957959859,9,2010,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,24.4
"UTAHDWQ_WQX-5981365","2013-03-27","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-1","Well",39.932755284,-111.957959859,3,2013,"Accepted",33,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA
"UTAHDWQ_WQX-5981366","2007-02-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-2","Well",39.932755284,-111.957959859,2,2007,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,227
"UTAHDWQ_WQX-5981366","2008-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-2","Well",39.932755284,-111.957959859,3,2008,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222
"UTAHDWQ_WQX-5981366","2009-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-2","Well",39.932755284,-111.957959859,3,2009,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252
"UTAHDWQ_WQX-5981366","2010-09-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-2","Well",39.932755284,-111.957959859,9,2010,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,267
"UTAHDWQ_WQX-5981366","2013-03-27","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-2","Well",39.932755284,-111.957959859,3,2013,"Accepted",268,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA
"UTAHDWQ_WQX-5981367","2007-02-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-3","Well",39.932755284,-111.957959859,2,2007,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,102
"UTAHDWQ_WQX-5981367","2008-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-3","Well",39.932755284,-111.957959859,3,2008,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86.9
"UTAHDWQ_WQX-5981367","2009-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-3","Well",39.932755284,-111.957959859,3,2009,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2
"UTAHDWQ_WQX-5981367","2010-09-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-3","Well",39.932755284,-111.957959859,9,2010,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,72.9
"UTAHDWQ_WQX-5981367","2013-03-27","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy MW-3","Well",39.932755284,-111.957959859,3,2013,"Accepted",25,NA,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA
"UTAHDWQ_WQX-5981368","2007-02-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy Pond #1","Well",39.932755284,-111.957959859,2,2007,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,30.1,NA,302,0,0.77
"UTAHDWQ_WQX-5981368","2008-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy Pond #1","Well",39.932755284,-111.957959859,3,2008,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,369,0,0.89
"UTAHDWQ_WQX-5981368","2009-03-19","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy Pond #1","Well",39.932755284,-111.957959859,3,2009,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.26,NA,506,NA,0.801
"UTAHDWQ_WQX-5981368","2010-09-22","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Brigham Creek Dairy Pond #1","Well",39.932755284,-111.957959859,9,2010,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,NA,421,NA,0.662
"UTAHDWQ_WQX-5983800","2008-06-11","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Current Creek Power  Evap Pond","Well",39.821331423,-111.892438315,6,2008,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,24,NA
"UTAHDWQ_WQX-5983800","2009-02-24","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Current Creek Power  Evap Pond","Well",39.821331423,-111.892438315,2,2009,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,0.679,5,NA
"UTAHDWQ_WQX-5983800","2009-02-24","UTAHDWQ_WQX","Utah Department Of Environmental Quality","Current Creek Power  Evap Pond","Well",39.821331423,-111.892438315,2,2009,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,0.679,5,NA
"UTAHGS-394840111521101","2017-05-24","UTAHGS","Utah Geological Survey","C319 JUAB VALLEY USWR","Well",39.81111907,-111.86963739,5,2017,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.267
"UTAHGS-395717111512301","2017-05-08","UTAHGS","Utah Geological Survey","Goshen Warm Spring 1","Spring",39.954647,-111.856309,5,2017,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.903
"UTAHGS-3959531115425101","2017-05-08","UTAHGS","Utah Geological Survey","02 Flowing 1","Well",39.997536,-111.906802,5,2017,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1
"UTAHGS-402105111472601","2017-04-10","UTAHGS","Utah Geological Survey","(D-5-1)25ccb-1","Well",40.351381,-111.791433,4,2017,"Final",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
