"NPES_Name","Month","Flow.acftmo","load.TP.tonmo","load.TDP.tonmo","load.TN.tonmo","WS_Name"
"PAYSON CITY CORP",1,154.24,0.9,0.83,5.05,"Benjamin Slough"
"SALEM CITY CORP",1,19.98,0.1,0.07,0.7,"Benjamin Slough"
"PAYSON CITY CORP",2,138.37,0.83,0.8,4.41,"Benjamin Slough"
"SALEM CITY CORP",2,18.05,0.08,0.06,0.54,"Benjamin Slough"
"PAYSON CITY CORP",3,152.96,0.86,0.84,4.34,"Benjamin Slough"
"SALEM CITY CORP",3,19.98,0.08,0.07,0.6,"Benjamin Slough"
"PAYSON CITY CORP",4,145.47,0.84,0.75,4.24,"Benjamin Slough"
"SALEM CITY CORP",4,19.33,0.08,0.06,0.54,"Benjamin Slough"
"PAYSON CITY CORP",5,160.18,0.95,0.9,4.26,"Benjamin Slough"
"SALEM CITY CORP",5,19.98,0.09,0.06,0.48,"Benjamin Slough"
"PAYSON CITY CORP",6,153.87,0.73,0.74,4.38,"Benjamin Slough"
"SALEM CITY CORP",6,19.33,0.09,0.06,0.41,"Benjamin Slough"
"PAYSON CITY CORP",7,155.15,0.9,0.87,4.34,"Benjamin Slough"
"SALEM CITY CORP",7,19.98,0.08,0.06,0.36,"Benjamin Slough"
"PAYSON CITY CORP",8,164.07,0.95,0.9,5.2,"Benjamin Slough"
"SALEM CITY CORP",8,19.98,0.06,0.06,0.27,"Benjamin Slough"
"PAYSON CITY CORP",9,151.69,0.87,0.79,3.85,"Benjamin Slough"
"SALEM CITY CORP",9,19.33,0.07,0.06,0.23,"Benjamin Slough"
"PAYSON CITY CORP",10,151.24,0.85,0.83,4.92,"Benjamin Slough"
"SALEM CITY CORP",10,19.98,0.08,0.05,0.27,"Benjamin Slough"
"PAYSON CITY CORP",11,144.3,0.91,0.83,4.78,"Benjamin Slough"
"SALEM CITY CORP",11,19.33,0.07,0.04,0.36,"Benjamin Slough"
"PAYSON CITY CORP",12,149.48,0.89,0.81,4.74,"Benjamin Slough"
"SALEM CITY CORP",12,19.98,0.09,0.06,0.49,"Benjamin Slough"
"SPANISH FORK CITY CORP",1,384.11,1.32,1.15,13.19,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",2,364.12,1.39,0.88,10.21,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",3,426.92,1.18,0.9,10.74,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",4,400.26,1.57,1.26,8.86,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",5,424.07,1.56,1.13,9.94,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",6,396.81,1.64,1.33,9.82,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",7,413.27,1.79,1.33,9.3,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",8,430.01,1.31,1,9.39,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",9,421.67,1.41,1.16,9.8,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",10,407.75,1.72,1.29,12.49,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",11,346.72,1.7,1.09,9.57,"Dry Creek - Spanish Fork"
"SPANISH FORK CITY CORP",12,348.39,1.51,1.24,10.54,"Dry Creek - Spanish Fork"
"SPRINGVILLE- CITY OF",1,335.24,1.62,1.5,10.02,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",2,302.58,1.24,1.05,8.67,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",3,341.39,1.48,1.16,11.62,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",4,311.31,1.59,1.33,11.44,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",5,341.06,1.71,1.48,9.88,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",6,336.76,1.65,1.48,8.89,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",7,353.49,1.65,1.54,9.23,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",8,371.03,1.83,1.61,12.32,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",9,338.22,1.54,1.4,8.4,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",10,331.64,1.21,1.12,6.81,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",11,301.42,1.42,1.3,9.26,"Spring Creek - Springville"
"SPRINGVILLE- CITY OF",12,313.49,1.37,1.19,9.53,"Spring Creek - Springville"
"PROVO CITY CORP",1,1078.84,3.68,3.29,34.74,"Mill Race"
"PROVO CITY CORP",2,989.62,3.36,3.3,31.81,"Mill Race"
"PROVO CITY CORP",3,1087.71,3.9,3.83,38.18,"Mill Race"
"PROVO CITY CORP",4,1023.48,4.24,3.46,42.59,"Mill Race"
"PROVO CITY CORP",5,1101.99,3.24,3.06,37.72,"Mill Race"
"PROVO CITY CORP",6,1071.04,3.26,3.25,32.59,"Mill Race"
"PROVO CITY CORP",7,1084.55,3.23,3.17,29.2,"Mill Race"
"PROVO CITY CORP",8,1095.64,3.15,2.15,32.51,"Mill Race"
"PROVO CITY CORP",9,1098.66,3.38,3.29,33.28,"Mill Race"
"PROVO CITY CORP",10,1082.96,3.74,3.5,34.72,"Mill Race"
"PROVO CITY CORP",11,975.91,3.05,2.88,35.14,"Mill Race"
"PROVO CITY CORP",12,964.04,3.97,2.92,32.4,"Mill Race"
"OREM CITY CORP",1,795.02,1.34,1.37,14.62,"Powell Slough Major"
"OREM CITY CORP",2,719.8,1.87,1.94,15.62,"Powell Slough Major"
"OREM CITY CORP",3,778.84,2.58,1.97,16.46,"Powell Slough Major"
"OREM CITY CORP",4,726.4,2.42,2.93,15.39,"Powell Slough Major"
"OREM CITY CORP",5,792.64,2.37,2.89,17.4,"Powell Slough Major"
"OREM CITY CORP",6,774.89,2.47,2.81,15.95,"Powell Slough Major"
"OREM CITY CORP",7,807.7,1.98,2.06,12.21,"Powell Slough Major"
"OREM CITY CORP",8,828,1.77,2.07,13.85,"Powell Slough Major"
"OREM CITY CORP",9,792.69,1.98,2.22,13.48,"Powell Slough Major"
"OREM CITY CORP",10,793.43,1.9,2.07,15.52,"Powell Slough Major"
"OREM CITY CORP",11,755.4,1.71,1.91,15.14,"Powell Slough Major"
"OREM CITY CORP",12,773.61,1.91,1.1,14.72,"Powell Slough Major"
"TIMPANOGOS SPECIAL SERVICE DIS",1,1758.11,2.3,0.8,24.18,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",2,1594.55,1.77,1.66,16.7,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",3,1770.63,3.92,1.34,22.34,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",4,1716.74,3.42,1.42,18.24,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",5,1825.97,3.29,1.62,19.68,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",6,1790.09,5.73,5.79,19.81,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",7,1822.64,3.94,3.98,20.39,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",8,1834.69,4.58,4.24,23.95,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",9,1764.15,2.72,1.74,22.05,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",10,1778.4,4.84,2.89,23.59,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",11,1701.24,1.83,0.99,20.98,"Timp SSD"
"TIMPANOGOS SPECIAL SERVICE DIS",12,1759.22,1.15,0.39,27.3,"Timp SSD"
